Frequency,Water_in,Flow,T_air,Defrosts
105.6,303.262817679558,0.0004146853898097,285.15,no
98.4,303.28900552486186,0.0004090147329650083,285.15,no
88.2,303.2312154696133,0.0003700322283609583,285.15,no
78.0,303.359723756906,0.0003355325352977278,285.15,no
68.4,303.2460773480663,0.0002918953345610805,285.15,no
58.2,303.277182320442,0.0002711632903621853,285.15,no
48.0,303.27580110497235,0.0002204389195825661,285.15,no
42.0,303.22022099447514,0.00017487722529159,285.15,no
28.8,303.232817679558,0.00012753069367710251,285.15,no
105.6,313.22209150326796,0.0003388071895424834,285.15,no
98.4,313.2441436464088,0.0003378483732351139,285.15,no
88.2,313.2385082872928,0.0003409898710865555,285.15,no
78.0,313.2182320441989,0.00032240178023327224,285.15,no
68.4,313.2625966850828,0.00027956875383670834,285.15,no
58.2,313.2395580110497,0.00025498004910988334,285.15,no
48.0,313.1935359116022,0.00020553100061387362,285.15,no
42.0,313.2275138121546,0.00016259515039901778,285.15,no
28.8,313.0740331491712,0.0001640070595457336,285.15,no
105.6,302.900897878876,0.00032121085648148154,280.15,yes
103.2,303.58025798292897,0.0003211573522511729,280.15,yes
98.4,303.69925266388657,0.0003213966548512652,280.15,yes
93.0,303.0165958069594,0.0003230065069501976,280.15,yes
88.2,302.9304612591392,0.00032293043228443695,280.15,yes
86.4,302.8849070050902,0.0003227425069412305,280.15,no
78.0,302.9076211235539,0.0003227271420124423,280.15,no
68.4,303.6159359930119,0.00032170342223775155,280.15,no
68.4,302.8926925571494,0.00032257344902051504,280.15,no
58.2,303.59640546993523,0.0003216143873984992,280.15,no
48.0,303.6094961517113,0.0003216220772946857,280.15,no
42.0,303.6367690878816,0.00032148732937609256,280.15,no
28.8,303.6836141956974,0.00032132692748091583,280.15,no
105.6,312.8459085393617,0.0003014568618498819,280.15,yes
103.2,312.8645247505784,0.00030135777494986934,280.15,yes
98.4,312.83880153586904,0.0003013854141924786,280.15,yes
93.0,312.87102967522554,0.00030122917322075694,280.15,no
88.2,312.79500367938925,0.00030411902980183493,280.15,no
86.4,312.89549202914645,0.00030425589097077656,280.15,no
78.0,312.8327829250519,0.0003042483907780086,280.15,no
68.4,312.93974891766885,0.000304242049285641,280.15,no
58.2,312.75738011655864,0.00030418712483297364,280.15,no
48.0,312.80306329879744,0.00030402378147805496,280.15,no
42.0,312.96583183533767,0.00030422927433446404,280.15,no
28.8,312.90595208188756,0.000304254912483615,280.15,no
105.6,322.51675201064313,0.0002781415256568464,280.15,no
103.2,322.812738047663,0.00029318234485063504,280.15,no
98.4,322.79900796066636,0.0002932187573911256,280.15,no
68.4,322.600396148265,0.0002932045519336374,280.15,no
105.6,302.41180688433604,0.0003215238148340253,275.15,yes
88.2,302.1134851083835,0.00032127596881272226,275.15,yes
68.4,304.483422191578,0.00032107108565993106,275.15,yes
48.0,305.22014601435404,0.000320930592991317,275.15,?
28.8,306.53753445605093,0.0003206480392781313,275.15,?
105.6,313.53716316890336,0.00030084704702041277,275.15,yes
88.2,313.35404589217956,0.00030357730204637773,275.15,yes
68.4,313.3787095279964,0.00030340663620237506,275.15,yes
48.0,313.61698275566863,0.00030369915625482017,275.15,no
28.8,316.655796939066,0.00030366857314603903,275.15,no
105.6,321.8432148070076,0.0001897970846895142,275.15,yes
88.2,321.690853977788,0.00018914432271582103,275.15,yes
68.4,321.7604113240309,0.00018927609173126627,275.15,yes
48.0,321.7663413093307,0.00018888792075163376,275.15,no
28.8,321.79968976353535,0.0001890632470821123,275.15,no
105.6,303.7262143262487,0.00032101796847325504,266.15,yes
88.2,303.8149482023411,0.00032091411533816426,266.15,yes
68.4,303.6643374488916,0.00032089366310892155,266.15,yes
48.0,303.7535072404776,0.00032096160618406944,266.15,yes
28.8,303.7469768314363,0.00032087221484492623,266.15,yes
105.6,314.1321796961366,0.00030671132883440614,266.15,yes
88.2,313.8144701664829,0.0003036122863836819,266.15,yes
68.4,313.90299407043005,0.0003036312335722822,266.15,yes
48.0,313.9200440503246,0.00030353111231361257,266.15,yes
28.8,313.8744460442117,0.00030356925748174004,266.15,yes
105.6,322.79414173345657,0.0001849685575093833,266.15,yes
88.2,322.79414577292346,0.00018479112204842384,266.15,yes
68.4,322.76020292341104,0.00018493050772526955,266.15,yes
48.0,322.73236460021724,0.00018497028773613365,266.15,yes
28.8,321.9987299612022,0.0001851940071341828,266.15,yes
