Frequency,Water_in,Flow,T_air,Defrosts
68.4,312.93974891766885,0.0003042420492856,280.15,no
103.2,322.812738047663,0.0002931823448506,280.15,no
88.2,312.79500367938925,0.0003041190298018,280.15,no
68.4,303.2460773480663,0.000291895334561,285.15,no
98.4,313.2441436464088,0.0003378483732351,285.15,no
28.8,303.6836141956974,0.0003213269274809,280.15,no
86.4,312.89549202914645,0.0003042558909707,280.15,no
88.2,313.2385082872928,0.0003409898710865,285.15,no
98.4,322.7990079606664,0.0002932187573911,280.15,no
58.2,312.75738011655864,0.0003041871248329,280.15,no
78.0,312.8327829250519,0.000304248390778,280.15,no
68.4,303.6159359930119,0.0003217034222377,280.15,no
28.8,316.655796939066,0.000303668573146,275.15,no
88.2,303.2312154696133,0.0003700322283609,285.15,no
28.8,321.7996897635353,0.0001890632470821,275.15,no
86.4,302.8849070050902,0.0003227425069412,280.15,no
48.0,313.1935359116022,0.0002055310006138,285.15,no
58.2,303.59640546993523,0.0003216143873984,280.15,no
42.0,313.2275138121546,0.000162595150399,285.15,no
68.4,322.600396148265,0.0002932045519336,280.15,no
28.8,303.232817679558,0.0001275306936771,285.15,no
68.4,313.2625966850828,0.0002795687538367,285.15,no
58.2,303.277182320442,0.0002711632903621,285.15,no
28.8,313.0740331491712,0.0001640070595457,285.15,no
48.0,312.80306329879744,0.000304023781478,280.15,no
58.2,313.2395580110497,0.0002549800491098,285.15,no
105.6,322.5167520106432,0.0002781415256568,280.15,no
42.0,303.22022099447514,0.0001748772252915,285.15,no
28.8,312.9059520818876,0.0003042549124836,280.15,no
98.4,303.28900552486186,0.000409014732965,285.15,no
93.0,312.87102967522554,0.0003012291732207,280.15,no
78.0,313.2182320441989,0.0003224017802332,285.15,no
42.0,312.96583183533767,0.0003042292743344,280.15,no
42.0,303.6367690878816,0.000321487329376,280.15,no
48.0,303.27580110497235,0.0002204389195825,285.15,no
48.0,303.6094961517113,0.0003216220772946,280.15,no
68.4,302.8926925571494,0.0003225734490205,280.15,no
78.0,302.9076211235539,0.0003227271420124,280.15,no
105.6,313.222091503268,0.0003388071895424,285.15,no
