"","cty_name","iso3numeric","id","year","eiacty","oil_prod32_14","oil_price_2000","oil_price_nom","oil_value_nom","oil_value_2000","oil_value_2014","gas_prod55_14","gas_price_2000_mboe","gas_price_2000","gas_price_nom","gas_value_nom","gas_value_2000","gas_value_2014","oil_gas_value_nom","oil_gas_value_2000","oil_gas_value_2014","oil_gas_valuePOP_nom","oil_gas_valuePOP_2000","oil_gas_valuePOP_2014","oil_exports","net_oil_exports","net_oil_exports_mt","net_oil_exports_value","net_oil_exports_valuePOP","gas_exports","net_gas_exports_bcf","net_gas_exports_mboe","net_gas_exports_value","net_gas_exports_valuePOP","net_oil_gas_exports_valuePOP","population","pop_maddison","sovereign","mult_nom_2000","mult_nom_2014","mult_2000_2014"
"1","Thailand",764,"THA",1957,"Thailand",NA,11.47628,1.9,NA,NA,NA,NA,12852184.2618626,2.373964135,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25041917,25041917,1,6.111378,8.40176064,1.3747735192
"2","Thailand",764,"THA",1984,"Thailand",788000,45.81844,28.78,166234431.2,275510770.477767,378764911.49724,18.7116716929,29369761.5996525,5.4249736287,2.66,331585408.178426,549557336.75,755516873.826063,497819839.378426,825068107.227767,1134281785.3233,10.0024297698,16.5776554991,22.79052179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49769891,50533778,1,1.6573628489,2.2784985563,1.3747735192
"3","Slovak Republic",703,"SVK",2014,"Slovakia",9960,71.9725878669,98.9460079051,7223731.40992885,5254488.32788316,7223731.40992885,0.66,17121245.3749253,3.1625147632,4.3477415504,15534970.9393246,11300021.9474507,15534970.9393246,22758702.3492534,16554510.2753339,22758702.3492534,4.2001803355,3.0551798365,4.2001803355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5418506,NA,1,0.7273925385,1,1.3747735192
"4","Moldova",498,"MDA",1967,"Moldova",NA,9.161955,1.8,NA,NA,NA,NA,15656296.5687308,2.8919198312,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3452263,3452263,0,5.153946,7.08550848,1.3747735192
"5","Vietnam",704,"VNM",1996,"Vietnam",8850000,22.48449,20.6684884,1340775176.7522,1471519983.66303,2023006706.46022,4.80106763,12412518.0098546,2.2927521097,2.17,54298459.9230494,59593338.4241497,81927343.5840855,1395073636.67525,1531113322.08718,2104934050.04431,18.7610420276,20.5905126651,28.307291558,168.43699,168.43699,8388162.102,1382335233.30906,18.5897351413,0,0,0,0,0,18.5897351413,74360136,74941175,1,1.0975143403,1.508833652,1.3747735192
"6","France",250,"FRA",2000,"France",1417000,28.50001,28.4954492,295971117.615212,295971117.615211,406893254.934697,10.3679590603,20051474.2893522,3.7037658228,3.68,207892864.530001,207892864.53,285805604.978945,503863982.145213,503863982.145211,692698859.913642,8.5557693609,8.5557693609,11.7622451535,35.07923,-1700.64,-84691872,-17690913807.336,-300.3972970553,27.08661,-1422.24099,-265.6835194351,-5327346259.05764,-90.4600199926,-390.8573170479,58891721,61137000,1,1,1.3747735192,1.3747735192
"7","Turkey",792,"TUR",1997,"Turkey",3789000,20.3782,19.0925875,530265496.894875,568920364.892819,782136652.167633,1.3272577849,12932015.0758337,2.3887099156,2.32,15997914.56636,17164117.6842815,23596774.4721607,546263411.461235,586084482.5771,805733426.639794,8.5387362034,9.1611861322,12.5945560987,0,-473.96736,-23603574.528,-3525389604.27648,-55.105963924,0,-338.45896,-63.2262523084,-817642848.041217,-12.7807142882,-67.8866782122,63974738,64097691,1,1.0728971963,1.4749906542,1.3747735192
"8","Soviet Union",810,"SUN",1959,NA,1.3e+08,12.14371,2.08,1982032000,11696553549.408,16080112085.207,NA,14721586.7556743,2.7192668776,0.13,NA,NA,NA,1982032000,11696553549.408,16080112085.207,9.2773936932,54.7486277375,75.266963624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213641036,117956865,1,5.901294,8.11294272,1.3747735192
"9","Qatar",634,"QAT",2002,"Qatar",33800000,23.71533,25.0232558,6203217320.30469,5937709964.1827,8163006423.23319,251.348102353,19291137.0404127,3.56332173,2.95,5065606531.08312,4848790687.34027,6665989036.92326,11268823851.3878,10786500651.523,14828995460.1565,16393.0671347802,15691.4183469103,21572.1464214527,570.8,570.8,28425840,4940899282.86,7187.6617043878,649.44285,649.44285,121.319989561,2340400544.36188,3404.6448637384,10592.3065681262,687414,691732,1,0.9571984436,1.3159310728,1.3747735192
"10","Norway",578,"NOR",2009,"Norway",102957748.068,49.5009802438,61.6712648,46542088209.8166,37357414290.9168,51357983911.5824,953.4075525476,16918245.4629102,3.1250180622,3.71,20095692002.9744,16129983000.192,22175073493.2257,66637780212.7911,53487397291.1088,73533057404.808,13800.2819403692,11076.9170359032,15228.2522149337,1800.51392,1780.49282,88668542.436,32169691066.0599,6662.148787498,3433.3243,3433.3243,641.3664700988,10850795372.8112,2247.1342074102,8909.2829949082,4828726,4661000,1,0.8026587488,1.1034739928,1.3747735192
