Code Article;Article;Prix;Disponible ?;Métallique ?;Part Min;Part à consommer;Part Max
FDN0172.;Frites Mn;509.7;1;1;0;;0.5
FDN0184.;Disque;420;1;1;0;;0.5
FDN0263.;Cuivre;8900;1;1;0;;0.5
FDN0609.;FONTE D'AFFINAGE              ;520;1;1;0;;0.5
FDN0615.;PAQUET;419;0;1;0;;0.5
FDN1089.;CARBONE 99.05 5-10MM;954;1;1;0;;0.5
FDN1200.;FONTE HAUTE PURETE            ;830;0;1;0;;0.5
FDN1203.;BROYÉ AUTOMOBILE              ;405;0;1;0;;0.5
FDN1204.;FRITE HAUT SILICIUM           ;506.7;1;1;0;;0.5
FDN1205.;CHUTES DE FORGE               ;0;0;1;0;;0.5
FDN1206.;SABOTS DE FREINS SNCF         ;435;0;1;0;;0.5
FDN1207.;E8C;453;1;1;0;;0.5
10.;Retour GL 200;460;0;1;0;;0.5
11.;Retour GL 250;460;0;1;0;;0.5
12.;Retour Jaune;510;0;1;0;;0.5
13.;Retour Bleu;530;0;1;0;;0.5
92655248.;ferro silicum 75 en vrac;1490;1;1;0;;0.5
FDN0545.;INOCULANT SMZ95 SB25          ;3320;0;0;0;;0.5
FDN0546.;INOCULANT TOPSEED 5005        ;2550;0;0;0;;0.5
FDN0636.;INODEX BA13                   ;3280;0;0;0;;0.5
FDN0260.;FERRO MANGANESE CARBURE       ;1380;1;1;0;;0.5
FDN0269.;CARBURE DE SILICIUM 90%       ;0;1;1;0;;0.5
FDN0207.;FERRO SILICIUM 75             ;2100;0;0;0;;0.5
FDN0151.;FePh;1250;1;1;0;;0.5
FDN1077.;Decrassant Freeslag FM;470;1;1;0;;0.5
97315295.;Degrassant SLAX33;284.4;0;1;0;;0.5
FDN0577.;FIL FOURRE  ;1.17;0;0;0;;0.5
FDN1211.;CLOUS                         ;387;0;1;0;;0.5
92658100.;E3C Cubilot;430;0;1;0;;0.5
FDN1212.;CARBONE 98-95 2-10MM;856;1;1;0;;0.5
92657120.;VF2;376.7;0;1;0;;0.5
FDN1219.;FONTE GS RECYCLEE             ;374;0;1;0;;0.5
FDN1221.;RAILS DE CHEMIN DE FER 40CM   ;436.7;1;1;0;;0.5
14.;Retour GL200 EMAIL;460;0;1;0;;0.5
15.;Retours GL200 CTP;450;0;1;0;;0.5
FDN1233.;POUTRELLES DE 40CM            ;415.2;0;1;0;;0.5
